[etiya-devops@ip-10-94-160-62 ~]$ kubectl get service -A
NAMESPACE                    NAME                                                       TYPE           CLUSTER-IP       EXTERNAL-IP                                                           PORT(S)                                                                            AGE
em-prod-eom                  eom-ui-em-prod                                             ClusterIP      172.20.98.39     <none>                                                                8080/TCP                                                                            56d
em-prod-eom                  eom-zeebe-em-prod-zeebe                                    ClusterIP      None             <none>                                                                9600/TCP,26502/TCP,26501/TCP                                                                            56d
em-prod-eom                  eom-zeebe-em-prod-zeebe-gateway                            ClusterIP      172.20.110.141   <none>                                                                9600/TCP,26500/TCP,8080/TCP                                                                            56d
em-prod-eom                  external-services-service                                  ClusterIP      172.20.196.167   <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            56d
em-prod-eom                  loyalty-services-service                                   ClusterIP      172.20.97.239    <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            56d
em-prod-eom                  om-services-service                                        ClusterIP      172.20.85.241    <none>                                                                8253/TCP,8290/TCP,9201/TCP,9164/TCP                                                                            56d
em-prod-eom                  wso2am-cp-1-service                                        ClusterIP      172.20.112.156   <none>                                                                9611/TCP,9711/TCP,5672/TCP,9443/TCP,9404/TCP                                                                            56d
em-prod-eom                  wso2am-cp-2-service                                        ClusterIP      172.20.173.71    <none>                                                                9611/TCP,9711/TCP,5672/TCP,9443/TCP,9404/TCP                                                                            56d
em-prod-eom                  wso2am-cp-service                                          ClusterIP      172.20.31.126    <none>                                                                9763/TCP,9443/TCP,9404/TCP                                                                            56d
em-prod-eom                  wso2am-gw-service                                          ClusterIP      172.20.185.67    <none>                                                                8280/TCP,8243/TCP,9763/TCP,9443/TCP,9099/TCP,8099/TCP,9021/TCP,8021/TCP,9404/TCP                                            56d
em-prod-flowe                fstp-activemq-artemis-em-prod                              ClusterIP      172.20.183.185   <none>                                                                8161/TCP,61616/TCP                                                                            57d
em-prod-flowe                fstp-bpmn-ms-em-prod                                       ClusterIP      172.20.116.78    <none>                                                                8080/TCP                                                                            34d
em-prod-flowe                fstp-configuration-ms-em-prod                              ClusterIP      172.20.242.188   <none>                                                                8080/TCP                                                                            34d
em-prod-flowe                fstp-dashboard-ms-em-prod                                  ClusterIP      172.20.151.60    <none>                                                                8080/TCP                                                                            34d
em-prod-flowe                fstp-eca-em-prod                                           ClusterIP      172.20.62.134    <none>                                                                8080/TCP                                                                            57d
em-prod-flowe                fstp-frontend-em-prod                                      ClusterIP      172.20.247.158   <none>                                                                8080/TCP                                                                            34d
em-prod-flowe                fstp-orchestra-ms-em-prod                                  ClusterIP      172.20.211.127   <none>                                                                8080/TCP                                                                            34d
em-prod-flowe                fstp-redis-em-prod                                         ClusterIP      172.20.198.25    <none>                                                                8001/TCP,6379/TCP                                                                            57d
em-prod-flowe                fstp-scheduler-ms-em-prod                                  ClusterIP      172.20.96.229    <none>                                                                8080/TCP                                                                            34d
em-prod-flowe                fstp-selenium-grid-em-prod                                 ClusterIP      172.20.171.104   <none>                                                                4444/TCP,7900/TCP                                                                            57d
em-prod                      bss-crm-batch                                              ClusterIP      172.20.80.66     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-activity                                            ClusterIP      172.20.114.215   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-asset-management                                    ClusterIP      172.20.226.244   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-b2b-objectstorage                                   ClusterIP      172.20.189.95    <none>                                                                8080/TCP                                                                            37d
em-prod                      bss-mc-cpq                                                 ClusterIP      172.20.87.142    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-cpq-batch                                           ClusterIP      172.20.112.244   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-cpq-ntf-integrator                                  ClusterIP      172.20.216.247   <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-crm-customer-information                            ClusterIP      172.20.170.21    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-crm-customer-search                                 ClusterIP      172.20.87.62     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-crm-mash-up                                         ClusterIP      172.20.202.82    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-crm-ntf-integrator                                  ClusterIP      172.20.77.252    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-crm-search-integrator                               ClusterIP      172.20.85.11     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-csr                                                 ClusterIP      172.20.86.27     <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-domain-config                                       ClusterIP      172.20.207.47    <none>                                                                8080/TCP                                                                            56d
em-prod                      bss-mc-id-service                                          ClusterIP      172.20.38.130    <none>                                                                8080/TCP                                                                            55d
em-prod                      bss-mc-message-relay                                       ClusterIP      172.20.233.84    <none>                                                                8080/TCP                                                                            55d
